시설명,시설유형,소재지도로명주소,소재지지번주소,위도,경도,영업상태명,전화번호,건립일자,건물면적,관리기관명,데이터기준일자,제공기관코드,제공기관명
염티리,마을회관및경로당,충청북도 청주시 상당구 문의면 회남문의로 770-6,충청북도 청주시 상당구 문의면 염티리 52,36.4736239,127.5277073,영업,,1998-09-16,,충청북도 청주시청,2024-11-11,5710000,충청북도 청주시
염티리,마을회관및경로당,충청북도 청주시 상당구 문의면 회남문의로 770-6,충청북도 청주시 상당구 문의면 염티리 52,36.4736239,127.5277073,영업,,1998-09-16,72.71,충청북도 청주시청,2024-11-11,5710000,충청북도 청주시
영동,경로당,충청북도 청주시 상당구 중앙로61번길 39-8,충청북도 청주시 상당구 영동 47-23,36.64203194,127.4861896,영업,,1989-05-29,,충청북도 청주시청,2024-11-11,5710000,충청북도 청주시
영세경로당,경로당,충청북도 청주시 상당구 단재로95번길 43,충청북도 청주시 상당구 영운동 135-24,36.62141028,127.4986925,영업,,1999-11-18,,충청북도 청주시청,2024-11-11,5710000,충청북도 청주시
영우리경로당,경로당,충청북도 청주시 상당구 수영로136번길 61,충청북도 청주시 상당구 영운동 88-2,36.61937082,127.5026446,영업,,1989-05-26,,충청북도 청주시청,2024-11-11,5710000,충청북도 청주시
영우아파트경로당,경로당,충청북도 청주시 청원구 안덕벌로69번길 39,충청북도 청주시 청원구 내덕동 141,36.66013568,127.4946721,영업,,2012-11-22,,충청북도 청주시청,2024-11-11,5710000,충청북도 청주시
영운경로당,경로당,충청북도 청주시 상당구 단재로127번길 6-9,충청북도 청주시 상당구 영운동 109-17,36.61818562,127.4989439,영업,,1989-05-26,,충청북도 청주시청,2024-11-11,5710000,충청북도 청주시
영조아름다운나날1차,경로당,충청북도 청주시 흥덕구 증안로 21,충청북도 청주시 흥덕구 복대동 2456,36.63677926,127.4256752,영업,,2015-11-12,,충청북도 청주시청,2024-11-11,5710000,충청북도 청주시
영조아름다운나날2차,경로당,충청북도 청주시 흥덕구 증안로 100,충청북도 청주시 흥덕구 복대동 3033,36.6352444,127.4333656,영업,,2006-06-19,,충청북도 청주시청,2024-11-11,5710000,충청북도 청주시
영하1리경로당,마을회관및경로당,충청북도 청주시 청원구 북이면 영하1길 14,충청북도 청주시 청원구 북이면 영하리 363,36.72688492,127.5821991,영업,,1999-07-12,,충청북도 청주시청,2024-11-11,5710000,충청북도 청주시
영하2리경로당,마을회관및경로당,충청북도 청주시 청원구 북이면 영하길 7-3,충청북도 청주시 청원구 북이면 영하리 284-3,36.71967108,127.578946,영업,,1997-12-15,,충청북도 청주시청,2024-11-11,5710000,충청북도 청주시
오동5통경로당,마을회관및경로당,충청북도 청주시 청원구 오동로 65(오동동),충청북도 청주시 청원구 오동동 281,36.68921336,127.4740262,영업,,1990-09-14,129,충청북도 청주시청,2024-11-11,5710000,충청북도 청주시
오동6통경로당,마을회관및경로당,충청북도 청주시 청원구 오동로 155(오동동),충청북도 청주시 청원구 오동동 298-3,36.68788346,127.4720374,영업,,1995-02-07,99,충청북도 청주시청,2024-11-11,5710000,충청북도 청주시
