"RSTR_NM","DTL_ADRES","RN_DTL_ADRES","LO","LA","USE_PSB_NMPR","COLR_HOLD_ELEFN","COLR_HOLD_ARCDTN","CHCK_MATTER_NIGHT_OPN_AT","FCLTY_OPRN_AT"
"서원새마을금고개신지점","615-0","충청북도 청주시 서원구 경신로 47 (개신동, 빌라)",127.4472199,36.6213208,,0,,"N","Y"
"군립도서관","816-0","충청북도 증평군 증평읍 광장로 37 ",127.5796822,36.789577,,3,,"N","Y"
"장동2리경로당","827-0","충청북도 증평군 증평읍 장동3길 9-3 ",127.5890324,36.7843936,,1,,"N","Y"
"초중3.4리","29-20","충청북도 증평군 증평읍 삼보로4길 8 ",127.5753276,36.7808652,,1,,"N","Y"
"한라비발디1단지경로당","1116 한라비발디 1단지경로당","충청북도 청주시 상당구  용정로  25 , 1단지경로당 (용정동, 한라비발디)",127.5161465,36.6304789,,1,,"N","Y"
"한라비발디2단지경로당","1117 청주용정 한라비발디 2단지경로당","충청북도 청주시 상당구  용정로  35 , 2단지경로당 (용정동, 청주용정 한라비발디)",127.517542,36.630846,,2,,"N","Y"
"영조1차경로당","2456 영조아름다운나날 영조1차경로당","충청북도 청주시 흥덕구  증안로  21 , 영조1차경로당 (복대동, 영조아름다운나날)",127.425077,36.6377325,,1,,"N","Y"
"영조2차경로당","3033 아름다운나날2차 영조2차경로당","충청북도 청주시 흥덕구  증안로  100 , 영조2차경로당 (복대동, 아름다운나날2차)",127.4329309,36.6352015,,3,,"N","Y"
"천수공원","182-0","충청북도 청주시 서원구 천수로 25",127.4614846,36.6379562,,,,,"Y"
"남들공원","20-1","충청북도 청주시 서원구 청남로2074번길 101",127.4922774,36.6176043,,,,,"Y"
"금속활자주조전수관","867-0","충청북도 청주시 흥덕구 흥덕로 96 (운천동)",127.472656,36.6435995,,0,,,"Y"
"원리2리경로당","207-8","충청북도 청주시 청원구 오창읍 원리1길 13 ",127.4510273,36.7512489,,1,,"N","Y"
"부영사랑으로경로당","1094 관리사무소","충청북도 청주시 서원구 산남동 원흥로  14 , 관리사무소 (산남동)",127.472828,36.608138,,2,,"N","Y"
"새동네경로당","1104 새동네경로당","충청북도 청주시 서원구  매봉로29번길  21 , 새동네경로당 (분평동)",127.4764021,36.6126892,,2,,"N","Y"
"장대1리,3리경로당","65-2","충청북도 청주시 청원구 오창읍 오창시내1길 49 ",127.4591196,36.7418073,,3,,"N","Y"
"분평계룡리슈빌아파트경로당","262 분평계룡리슈빌아파트 분평계룡경로당","충청북도 청주시 서원구  매봉로  28 , 분평계룡경로당 (분평동, 분평계룡리슈빌아파트)",127.4777145,36.6130697,,2,,"N","Y"
"학소리할머니경로당","271-8","충청북도 청주시 청원구 오창읍 학소길 38 ",127.4701166,36.7448228,,2,,"N","Y"
"모정2리경로당","281-3","충청북도 청주시 청원구 오창읍 모정1길 6 ",127.4642023,36.7469054,,2,,"N","Y"
"일신리경로당","281-5","충청북도 청주시 청원구 오창읍 일신길 23 ",127.4718332,36.7544918,,2,,"N","Y"
"유리경로당","469-3","충청북도 청주시 청원구 오창읍 유리길 50 ",127.4778521,36.7576056,,2,,"N","Y"
"창리1리경로당","48-0","충청북도 청주시 청원구 오창읍 공항로 1026-6 ",127.4536693,36.7402039,,2,,"N","Y"
"복지회관쉼터","609-1","충청북도 청주시 서원구 남이면 척산길 7-14  ",127.4330246,36.5604332,,1,,,"Y"
"척산4리경로당","651-2","충청북도 청주시 서원구 남이면척산5길 29-14",127.427983,36.562411,,2,,,"Y"
"척북3리경로당","74-13","충청북도 청주시 서원구 남이면 저산척북로 636-10 (삼포아파트)",127.4243152,36.5717426,,2,,,"Y"
"보성아파트경로당","301-2 보성아파트경로당","충청북도 청주시 서원구  매봉로2번길  55 , 보성아파트경로당 (분평동)",127.4809998,36.6107459,,1,,"N","Y"
"창리2리경로당","4-17","충청북도 청주시 청원구 오창읍 팔결로 691 (진양아파트)",127.4564964,36.7396364,,2,,"N","Y"
"창리5리경로당","115-0","충청북도 청주시 청원구 오창읍 창리1길 13 (금정아파트)",127.4534011,36.7382522,,2,,"N","Y"
